,Value
31175,431/98
31176,11/7
31177,633/8
31178,967/65
31179,772/89
31180,83/62
31181,23/346
31182,8/846
31183,789/469
31184,1/816
31185,795/9
31186,281/305
31187,935/70
31188,25/6
31189,54/65
31190,55/15
31191,496/1
31192,504/267
31193,79/7
31194,240/9
31195,65/48
31196,5/6
31197,6/55
31198,5/3
31199,2/7
31200,96/20
31201,81/805
31202,5/3
31203,223/2
31204,10/416
31205,23/835
31206,92/142
31207,188/74
31208,74/586
31209,183/453
31210,8/993
31211,9/17
31212,46/6
31213,5/36
31214,471/35
31215,18/398
31216,681/83
31217,982/34
31218,88/364
31219,1/59
31220,76/194
31221,145/5
31222,90/19
31223,2/3
31224,8/76
31225,995/635
31226,954/439
31227,565/862
31228,1/4
31229,39/1
31230,374/71
31231,78/13
31232,65/32
31233,328/126
31234,7/994
31235,285/192
31236,59/79
31237,950/8
31238,42/2
31239,315/346
31240,8/668
31241,408/4
31242,9/208
31243,7/769
31244,14/334
31245,9/579
31246,910/1
31247,182/30
31248,864/889
31249,9/266
31250,92/31
31251,19/730
31252,8/697
31253,17/37
31254,6/6
31255,753/81
31256,8/375
31257,553/9
31258,2/7
31259,32/1
31260,164/22
31261,992/49
31262,86/981
31263,9/13
31264,73/4
31265,561/74
31266,97/177
31267,2/878
31268,7/2
31269,23/78
31270,533/508
31271,2/873
31272,434/6
31273,634/3
31274,73/2
31275,2/632
31276,16/475
31277,4/58
31278,985/908
31279,19/531
31280,460/357
31281,8/205
31282,713/220
31283,360/49
31284,8/3
31285,337/4
31286,8/510
31287,5/35
31288,931/55
31289,5/506
31290,80/51
31291,686/8
31292,6/90
31293,20/6
31294,6/46
31295,1/5
31296,14/14
31297,52/19
31298,314/97
31299,777/11
31300,3/562
31301,39/51
31302,8/9
31303,255/1
31304,582/6
31305,280/6
31306,42/72
31307,26/843
31308,96/509
31309,26/72
31310,2/112
31311,8/20
31312,72/818
31313,48/170
31314,15/4
31315,737/55
31316,513/27
31317,265/28
31318,417/71
31319,769/2
31320,933/32
31321,24/7
31322,54/4
31323,7/13
31324,91/32
31325,7/6
31326,993/915
31327,18/154
31328,923/43
31329,83/1
31330,235/176
31331,66/48
31332,89/871
31333,215/1
31334,140/54
31335,776/32
31336,8/424
31337,4/7
31338,1/3
31339,2/903
31340,806/9
31341,2/766
31342,84/284
31343,1/50
31344,623/4
31345,56/817
31346,776/324
31347,8/3
31348,8/7
31349,7/261
31350,6/416
31351,46/39
31352,25/9
31353,5/8
31354,194/5
31355,838/27
31356,578/10
31357,716/657
31358,25/7
31359,59/51
31360,197/7
31361,7/50
31362,94/19
31363,754/78
31364,777/94
31365,879/78
31366,117/77
31367,5/20
31368,84/5
31369,4/785
31370,386/1
31371,2/40
31372,79/20
31373,442/82
31374,228/806
31375,639/80
31376,76/16
31377,97/2
31378,172/40
31379,411/4
31380,930/68
31381,5/7
31382,8/2
31383,788/4
31384,637/8
31385,8/2
31386,81/2
31387,914/4
31388,69/908
31389,12/992
31390,6/5
31391,6/50
31392,1/15
31393,8/92
31394,174/9
31395,71/8
31396,8/484
31397,113/21
31398,120/7
31399,230/228
31400,61/340
31401,33/6
31402,95/470
31403,8/50
31404,577/419
31405,596/9
31406,945/90
31407,6/288
31408,2/2
31409,330/800
31410,227/76
31411,85/39
31412,6/92
31413,2/92
31414,2/3
31415,996/5
31416,5/2
31417,4/8
31418,8/7
31419,936/97
31420,470/55
31421,776/423
31422,699/40
31423,15/479
31424,92/9
31425,7/60
31426,89/57
31427,7/2
31428,5/911
31429,23/87
31430,150/768
31431,5/43
31432,31/282
31433,134/734
31434,3/327
31435,80/333
31436,81/610
31437,9/62
31438,76/73
31439,29/26
31440,73/561
31441,939/415
31442,9/25
31443,59/75
31444,819/956
31445,6/5
31446,3/515
31447,5/107
31448,355/2
31449,91/57
31450,79/79
31451,83/9
31452,580/78
31453,54/31
31454,87/82
31455,54/4
31456,617/130
31457,1/6
31458,3/89
31459,278/342
31460,11/734
31461,239/34
31462,1/266
31463,1/4
31464,143/48
31465,64/2
31466,68/134
31467,70/49
31468,18/70
31469,725/3
31470,24/172
31471,216/905
31472,240/3
31473,605/546
31474,3/3
31475,35/959
31476,542/3
31477,76/7
31478,66/13
31479,37/352
31480,309/374
31481,49/1
31482,1/1
31483,92/1
31484,387/974
31485,462/7
31486,876/70
31487,6/7
31488,2/997
31489,38/9
31490,554/53
31491,515/449
31492,317/63
31493,919/99
31494,26/556
31495,5/63
31496,782/97
31497,318/8
31498,44/55
31499,2/419
31500,5/28
31501,4/861
31502,54/20
31503,925/13
31504,759/918
31505,1/609
31506,60/1
31507,799/9
31508,63/49
31509,30/6
31510,337/721
31511,9/9
31512,3/40
31513,4/379
31514,87/1
31515,126/713
31516,961/771
31517,210/407
31518,88/75
31519,35/638
31520,82/98
31521,2/25
31522,27/23
31523,6/65
31524,622/83
31525,18/57
31526,6/94
31527,2/3
31528,8/6
31529,76/555
31530,5/600
31531,274/24
31532,823/6
31533,3/8
31534,25/307
31535,131/4
31536,70/565
31537,643/88
31538,4/490
31539,56/3
31540,5/8
31541,737/8
31542,935/900
31543,32/124
31544,45/9
31545,270/29
31546,7/50
31547,5/4
31548,6/825
31549,5/10
31550,7/83
31551,97/65
31552,9/9
31553,60/968
31554,944/123
31555,337/444
31556,33/9
31557,24/6
31558,4/496
31559,9/413
31560,942/7
31561,608/4
31562,4/82
31563,22/623
31564,931/4
31565,32/805
31566,6/3
31567,429/8
31568,844/6
31569,793/6
31570,5/119
31571,93/55
31572,568/59
31573,9/4
31574,97/2
31575,548/41
31576,23/1
31577,349/1
31578,5/1
31579,559/6
31580,77/728
31581,42/24
31582,217/5
31583,80/3
31584,2/303
31585,4/2
31586,623/344
31587,4/716
31588,869/20
31589,5/17
31590,31/89
31591,81/2
31592,164/884
31593,342/6
31594,4/766
31595,386/40
31596,79/61
31597,4/3
31598,9/3
31599,1/91
31600,4/41
31601,5/30
31602,19/717
31603,19/39
31604,537/616
31605,9/141
31606,589/48
31607,6/932
31608,5/9
31609,59/3
31610,8/580
31611,9/34
31612,56/141
31613,998/82
31614,7/2
31615,52/48
31616,90/99
31617,7/64
31618,481/754
31619,126/384
31620,3/4
31621,61/2
31622,7/68
31623,42/3
31624,718/91
31625,9/3
31626,99/7
31627,7/382
31628,4/8
31629,48/49
31630,866/7
31631,6/341
31632,3/9
31633,1/89
31634,9/95
31635,30/732
31636,9/45
31637,608/4
31638,209/909
31639,49/1
31640,2/129
31641,34/449
31642,2/6
31643,755/840
31644,1/5
31645,9/205
31646,8/467
31647,16/150
31648,871/3
31649,216/49
31650,9/748
31651,3/5
31652,699/30
31653,71/910
31654,8/95
31655,128/7
31656,28/954
31657,3/300
31658,801/938
31659,85/69
31660,22/7
31661,4/17
31662,976/2
31663,79/41
31664,15/53
31665,24/30
31666,107/18
31667,741/84
31668,92/3
31669,8/207
31670,56/91
31671,72/794
31672,10/782
31673,888/71
31674,66/332
31675,4/3
31676,625/1
31677,974/55
31678,14/35
31679,299/1
31680,471/60
31681,6/84
31682,370/77
31683,89/27
31684,988/857
31685,779/6
31686,50/176
31687,2/213
31688,1/6
31689,928/927
31690,114/64
31691,7/888
31692,87/85
31693,4/2
31694,60/715
31695,45/71
31696,7/80
31697,94/348
31698,267/3
31699,24/41
31700,3/310
31701,446/4
31702,25/42
31703,649/1
31704,2/228
31705,702/7
31706,639/22
31707,71/4
31708,7/9
31709,3/42
31710,52/1
31711,9/9
31712,546/10
31713,95/378
31714,50/97
31715,25/8
31716,82/459
31717,25/2
31718,80/5
31719,68/303
31720,5/81
31721,444/4
31722,176/81
31723,1/90
31724,237/6
31725,52/90
31726,14/2
31727,8/6
31728,494/6
31729,9/47
31730,45/655
31731,18/8
31732,5/2
31733,615/14
31734,19/79
31735,4/898
31736,212/9
31737,13/3
31738,1/86
31739,973/607
31740,591/3
31741,5/839
31742,6/68
31743,9/4
31744,7/9
31745,86/1
31746,13/654
31747,44/6
31748,628/996
31749,996/62
31750,650/30
31751,33/4
31752,7/5
31753,2/426
31754,353/6
31755,369/88
31756,691/5
31757,45/46
31758,40/99
31759,9/9
31760,45/82
31761,776/424
31762,8/16
31763,13/636
31764,8/8
31765,9/7
31766,72/9
31767,24/530
31768,73/904
31769,1/682
31770,2/327
31771,47/2
31772,88/1
31773,6/4
31774,441/42
31775,7/9
31776,9/194
31777,3/7
31778,128/52
31779,2/6
31780,3/81
31781,6/886
31782,14/924
31783,88/7
31784,6/794
31785,447/9
31786,641/1
31787,268/7
31788,229/23
31789,6/751
31790,115/25
31791,422/17
31792,12/25
31793,72/507
31794,14/2
31795,26/136
31796,671/5
31797,592/49
31798,98/5
31799,8/26
31800,90/693
31801,9/80
31802,542/37
31803,924/613
31804,23/7
31805,3/3
31806,67/8
31807,10/17
31808,989/771
31809,7/922
31810,78/804
31811,977/86
31812,74/836
31813,44/1
31814,33/386
31815,4/37
31816,5/61
31817,4/588
31818,96/1
31819,811/7
31820,81/74
31821,6/967
31822,57/45
31823,31/6
31824,8/3
31825,5/1
31826,786/14
31827,97/93
31828,8/5
31829,85/7
31830,71/712
31831,88/386
31832,9/542
31833,52/231
31834,10/2
31835,4/57
31836,785/633
31837,347/139
31838,398/373
31839,264/695
31840,54/812
31841,386/390
31842,1/78
31843,436/447
31844,660/227
31845,77/273
31846,546/6
31847,446/58
31848,875/281
31849,82/6
31850,3/175
31851,9/673
31852,1/6
31853,683/9
31854,84/695
31855,78/735
31856,43/91
31857,529/75
31858,2/38
31859,58/452
31860,7/75
31861,4/865
31862,55/23
31863,1/6
31864,74/4
31865,986/377
31866,815/1
31867,803/6
31868,1/69
31869,8/61
31870,2/69
31871,5/59
31872,192/74
31873,86/3
31874,13/322
31875,203/5
31876,157/424
31877,17/39
31878,69/984
31879,1/3
31880,742/78
31881,61/895
31882,8/9
31883,109/2
31884,9/48
31885,24/238
31886,38/1
31887,3/6
31888,2/324
31889,931/5
31890,4/494
31891,572/6
31892,412/973
31893,83/239
31894,3/379
31895,6/56
31896,932/400
31897,752/60
31898,1/557
31899,2/5
31900,878/840
31901,1/154
31902,2/9
31903,792/9
31904,2/65
31905,9/648
31906,88/6
31907,845/13
31908,991/78
31909,975/9
31910,11/198
31911,38/39
31912,19/717
31913,9/3
31914,490/566
31915,2/7
31916,1/995
31917,3/9
31918,2/9
31919,569/3
31920,124/7
31921,42/957
31922,417/929
31923,581/2
31924,5/1
31925,8/59
31926,4/3
31927,915/65
31928,74/7
31929,373/3
31930,3/69
31931,2/99
31932,74/338
31933,8/99
31934,4/134
31935,63/5
31936,8/82
31937,754/72
31938,46/6
31939,42/5
31940,467/832
31941,6/95
31942,3/320
31943,2/86
31944,1/5
31945,4/10
31946,76/94
31947,452/573
31948,397/439
31949,1/5
31950,14/5
31951,1/24
31952,1/679
31953,196/4
31954,89/47
31955,114/65
31956,39/7
31957,526/6
31958,17/6
31959,473/575
31960,3/21
31961,45/431
31962,2/98
31963,6/7
31964,80/6
31965,8/51
31966,39/53
31967,8/7
31968,594/6
31969,364/70
31970,41/4
31971,4/7
31972,7/49
31973,98/384
31974,26/1
31975,7/8
31976,6/753
31977,800/248
31978,9/436
31979,162/996
31980,4/9
31981,52/130
31982,2/13
31983,272/1
31984,79/30
31985,72/148
31986,499/53
31987,340/8
31988,122/864
31989,27/59
31990,970/35
31991,4/948
31992,124/439
31993,4/46
31994,2/65
31995,3/5
31996,184/8
31997,7/86
31998,3/570
31999,5/925
32000,103/38
32001,2/940
32002,8/4
32003,7/2
32004,4/60
32005,4/83
32006,5/5
32007,512/3
32008,7/79
32009,5/95
32010,804/5
32011,5/822
32012,85/8
32013,2/3
32014,58/962
32015,1/20
32016,5/72
32017,73/7
32018,882/42
32019,979/4
32020,16/5
32021,35/28
32022,317/289
32023,2/74
32024,1/5
32025,37/9
32026,4/1
32027,6/234
32028,447/7
32029,5/2
32030,4/3
32031,7/7
32032,211/892
32033,62/8
32034,54/1
32035,251/500
32036,726/3
32037,241/8
32038,764/5
32039,25/5
32040,499/5
32041,8/1
32042,8/1
32043,94/1
32044,5/987
32045,574/10
32046,5/602
32047,2/4
32048,99/2
32049,28/111
32050,93/3
32051,923/345
32052,55/68
32053,3/407
32054,45/35
32055,4/29
32056,81/449
32057,661/974
32058,592/7
32059,9/840
32060,6/357
32061,420/132
32062,550/806
32063,5/720
32064,96/7
32065,2/635
32066,742/59
32067,293/374
32068,986/183
32069,4/5
32070,3/63
32071,875/83
32072,666/58
32073,219/966
32074,919/90
32075,34/425
32076,29/63
32077,823/459
32078,64/645
32079,70/861
32080,6/7
32081,73/8
32082,46/776
32083,396/3
32084,53/17
32085,39/53
32086,987/46
32087,547/76
32088,5/2
32089,1/7
32090,4/151
32091,4/573
32092,324/924
32093,2/36
32094,73/90
32095,69/48
32096,7/511
32097,7/6
32098,18/4
32099,72/52
32100,9/9
32101,3/5
32102,8/334
32103,6/274
32104,355/55
32105,64/6
32106,1/701
32107,520/9
32108,383/9
32109,77/9
32110,5/8
32111,61/3
32112,8/368
32113,3/8
32114,411/9
32115,3/2
32116,941/81
32117,7/855
32118,108/345
32119,2/76
32120,498/41
32121,5/210
32122,5/95
32123,288/8
32124,31/6
32125,468/58
32126,362/181
32127,6/5
32128,875/5
32129,437/25
32130,72/69
32131,33/775
32132,402/329
32133,91/83
32134,841/9
32135,827/884
32136,67/512
32137,36/34
32138,5/379
32139,4/80
32140,78/5
32141,78/69
32142,80/6
32143,14/8
32144,519/7
32145,96/7
32146,40/452
32147,363/461
32148,8/7
32149,36/95
32150,47/215
32151,859/39
32152,761/58
32153,863/7
32154,2/72
32155,4/4
32156,126/80
32157,52/4
32158,36/27
32159,26/967
32160,608/68
32161,35/8
32162,949/7
32163,2/5
32164,17/6
32165,594/286
32166,294/1
32167,216/565
32168,757/5
32169,428/3
32170,47/43
32171,5/1
32172,4/2
32173,500/872
32174,580/964
32175,47/968
32176,43/13
32177,5/165
32178,491/69
32179,302/4
32180,557/9
32181,4/731
32182,108/9
32183,409/67
32184,46/726
32185,91/9
32186,94/6
32187,5/675
32188,4/68
32189,740/17
32190,68/1
32191,425/23
32192,48/70
32193,60/915
32194,5/28
32195,931/48
32196,496/5
32197,15/74
32198,403/31
32199,572/370
32200,4/61
32201,967/766
32202,8/35
32203,285/46
32204,1/2
32205,700/4
32206,3/60
32207,65/305
32208,127/2
32209,1/212
32210,49/82
32211,357/93
32212,56/5
32213,11/93
32214,9/70
32215,92/62
32216,87/713
32217,785/7
32218,69/66
32219,203/1
32220,8/3
32221,9/6
32222,565/40
32223,204/15
32224,56/4
32225,32/7
32226,105/81
32227,6/5
32228,506/17
32229,11/516
32230,657/1
32231,46/94
32232,178/2
32233,462/311
32234,2/31
32235,520/63
32236,63/678
32237,8/2
32238,8/5
32239,6/785
32240,24/2
32241,617/74
32242,723/11
32243,74/600
32244,140/644
32245,87/434
32246,43/863
32247,70/9
32248,9/27
32249,946/111
32250,1/52
32251,144/5
32252,9/8
32253,23/5
32254,7/4
32255,27/67
32256,8/49
32257,60/2
32258,5/12
32259,235/2
32260,96/30
32261,22/69
32262,80/54
32263,3/1
32264,3/8
32265,18/912
32266,17/174
32267,773/13
32268,900/514
32269,8/780
32270,3/6
32271,642/92
32272,37/7
32273,31/54
32274,55/3
32275,36/92
32276,133/5
32277,2/5
32278,6/132
32279,477/71
32280,843/656
32281,9/967
32282,13/71
32283,64/23
32284,487/832
32285,6/253
32286,4/193
32287,5/602
32288,998/6
32289,4/7
32290,7/4
32291,68/3
32292,811/387
32293,627/2
32294,344/696
32295,99/45
32296,497/9
32297,176/5
32298,24/493
32299,72/80
32300,9/18
32301,83/4
32302,469/52
32303,98/381
32304,56/897
32305,1/62
32306,90/1
32307,800/48
32308,34/887
32309,5/768
32310,528/567
32311,930/3
32312,6/7
32313,25/9
32314,393/125
32315,696/197
32316,7/1
32317,580/510
32318,3/9
32319,48/87
32320,719/8
32321,14/3
32322,77/981
32323,8/760
32324,86/44
32325,204/42
32326,7/4
32327,94/7
32328,4/577
32329,277/4
32330,8/2
32331,7/95
32332,2/787
32333,75/303
32334,54/265
32335,3/481
32336,3/606
32337,6/364
32338,74/607
32339,49/546
32340,980/1
32341,733/836
32342,98/94
32343,773/202
32344,518/77
32345,837/79
32346,85/5
32347,241/209
32348,57/44
32349,7/4
32350,60/127
32351,92/65
32352,9/42
32353,4/6
32354,83/2
32355,6/36
32356,36/8
32357,5/5
32358,642/197
32359,18/39
32360,6/409
32361,10/59
32362,882/288
32363,949/90
32364,51/6
32365,896/473
32366,1/1
32367,2/4
32368,988/94
32369,307/8
32370,253/47
32371,56/92
32372,155/646
32373,864/7
32374,91/6
32375,18/901
32376,569/710
32377,5/690
32378,28/88
32379,6/64
32380,7/6
32381,8/327
32382,9/52
32383,820/7
32384,7/7
32385,48/7
32386,57/7
32387,639/71
32388,1/550
32389,12/946
32390,467/466
32391,3/760
32392,4/18
32393,303/501
32394,47/690
32395,52/9
32396,13/4
32397,4/63
32398,1/2
32399,8/283
32400,22/44
32401,8/511
32402,7/8
32403,781/712
32404,3/95
32405,7/7
32406,40/6
32407,83/42
32408,558/437
32409,936/7
32410,2/7
32411,569/575
32412,477/283
32413,73/512
32414,4/5
32415,720/559
32416,892/237
32417,8/71
32418,7/6
32419,7/8
32420,3/536
32421,218/3
32422,422/223
32423,90/841
32424,366/70
32425,244/14
32426,4/428
32427,5/99
32428,8/2
32429,29/221
32430,88/94
32431,24/812
32432,435/7
32433,55/2
32434,69/50
32435,46/9
32436,3/339
32437,322/7
32438,5/71
32439,68/13
32440,78/985
32441,6/70
32442,944/735
32443,742/741
32444,902/27
32445,2/4
32446,4/160
32447,840/2
32448,86/14
32449,2/24
32450,7/520
32451,87/1
32452,48/18
32453,63/4
32454,7/873
32455,29/46
32456,2/148
32457,428/909
32458,63/5
32459,276/1
32460,38/8
32461,60/9
32462,76/1
32463,55/9
32464,50/227
32465,4/1
32466,7/9
32467,458/47
32468,250/1
32469,8/36
32470,46/17
32471,86/447
32472,201/30
32473,79/21
32474,47/42
32475,28/7
32476,14/67
32477,4/2
32478,2/302
32479,843/54
32480,69/74
32481,39/43
32482,141/91
32483,417/9
32484,1/216
32485,144/1
32486,9/522
32487,80/60
32488,688/278
32489,57/480
32490,2/5
32491,247/2
32492,1/723
32493,366/9
32494,59/34
32495,3/2
32496,9/5
32497,616/76
32498,43/958
32499,28/63
32500,2/7
32501,42/8
32502,7/172
32503,89/65
32504,128/7
32505,717/476
32506,40/45
32507,2/9
32508,440/7
32509,35/157
32510,874/62
32511,287/4
32512,1/56
32513,4/72
32514,2/7
32515,4/83
32516,77/214
32517,43/52
32518,2/3
32519,60/9
32520,20/35
32521,410/73
32522,185/944
32523,7/642
32524,9/9
32525,93/5
32526,7/5
32527,6/42
32528,390/3
32529,63/2
32530,63/4
32531,63/642
32532,912/2
32533,62/506
32534,65/8
32535,526/5
32536,4/61
32537,3/95
32538,93/707
32539,198/658
32540,3/73
32541,4/83
32542,313/80
32543,195/50
32544,445/60
32545,35/50
32546,4/361
32547,779/80
32548,8/6
32549,406/2
32550,90/75
32551,123/596
32552,2/8
32553,5/69
32554,670/24
32555,471/1
32556,4/342
32557,882/99
32558,831/154
32559,2/8
32560,4/612
32561,2/715
32562,765/4
32563,58/126
32564,450/9
32565,17/659
32566,33/876
32567,5/7
32568,862/2
32569,131/50
32570,5/492
32571,3/398
32572,6/21
32573,5/982
32574,7/7
32575,89/7
32576,2/6
32577,1/6
32578,336/86
32579,2/566
32580,62/5
32581,2/293
32582,20/993
32583,750/53
32584,143/62
32585,9/6
32586,58/21
32587,9/2
32588,62/80
32589,94/94
32590,658/574
32591,520/1
32592,60/83
32593,1/80
32594,8/1
32595,19/670
32596,95/844
32597,2/96
32598,702/15
32599,1/627
32600,601/20
32601,69/28
32602,61/86
32603,578/920
32604,7/2
32605,276/75
32606,2/34
32607,7/42
32608,4/460
32609,91/1
32610,5/12
32611,189/8
32612,84/9
32613,547/84
32614,5/6
32615,641/59
32616,69/6
32617,49/9
32618,390/206
32619,3/2
32620,7/608
32621,5/8
32622,26/8
32623,6/48
32624,97/95
32625,61/24
32626,6/75
32627,4/31
32628,13/60
32629,414/95
32630,14/72
32631,244/7
32632,228/18
32633,7/614
32634,827/172
32635,145/910
32636,4/44
32637,876/8
32638,9/458
32639,2/6
32640,130/6
32641,1/3
32642,7/518
32643,666/637
32644,17/41
32645,692/18
32646,862/7
32647,153/375
32648,59/2
32649,87/4
32650,731/110
32651,685/10
32652,888/47
32653,934/765
32654,42/5
32655,9/1
32656,122/59
32657,960/157
32658,218/6
32659,45/33
32660,616/48
32661,7/1
32662,98/58
32663,92/3
32664,3/584
32665,27/8
32666,4/2
32667,971/680
32668,133/40
32669,5/7
32670,8/54
32671,3/1
32672,27/70
32673,82/266
32674,93/9
32675,26/331
32676,67/140
32677,9/97
32678,92/5
32679,2/8
32680,804/275
32681,381/9
32682,84/15
32683,4/82
32684,9/56
32685,587/654
32686,29/6
32687,2/15
32688,34/195
32689,34/99
32690,377/65
32691,7/584
32692,1/3
32693,6/429
32694,678/8
32695,3/7
32696,59/8
32697,8/5
32698,659/51
32699,4/20
32700,84/47
32701,230/3
32702,7/349
32703,9/29
32704,4/7
32705,85/9
32706,49/8
32707,650/4
32708,564/9
32709,762/3
32710,1/84
32711,474/33
32712,324/3
32713,994/68
32714,8/909
32715,76/89
32716,33/791
32717,81/872
32718,5/52
32719,685/1
32720,9/3
32721,36/577
32722,6/53
32723,9/4
32724,729/777
32725,9/598
32726,82/42
32727,529/4
32728,71/967
32729,6/7
32730,5/32
32731,73/9
32732,769/452
32733,7/5
32734,96/230
32735,816/860
32736,27/2
32737,725/336
32738,59/970
32739,230/1
32740,73/5
32741,2/9
32742,92/73
32743,826/4
32744,5/4
32745,6/199
32746,769/9
32747,772/77
32748,51/76
32749,9/26
32750,99/583
32751,3/8
32752,512/3
32753,961/4
32754,6/4
32755,79/826
32756,731/72
32757,328/1
32758,50/38
32759,3/440
32760,7/31
32761,34/6
32762,96/375
32763,520/2
32764,2/3
32765,43/42
32766,239/7
32767,1/799
32768,70/4
32769,98/197
32770,471/688
32771,11/9
32772,92/14
32773,7/2
32774,34/424
32775,348/394
32776,92/62
32777,87/399
32778,97/877
32779,4/5
32780,5/452
32781,535/6
32782,96/1
32783,2/89
32784,48/405
32785,79/694
32786,437/508
32787,61/9
32788,948/8
32789,781/699
32790,260/2
32791,279/86
32792,6/84
32793,2/792
32794,650/69
32795,60/8
32796,5/953
32797,7/865
32798,263/303
32799,738/945
32800,14/894
32801,9/1
32802,612/79
32803,154/3
32804,8/5
32805,2/605
32806,91/488
32807,601/51
32808,98/1
32809,464/147
32810,84/112
32811,3/501
32812,49/50
32813,199/505
32814,3/612
32815,9/61
32816,403/1
32817,96/898
32818,9/7
32819,23/41
32820,85/48
32821,9/465
32822,897/24
32823,8/44
32824,524/504
32825,146/4
32826,282/96
32827,996/455
32828,7/324
32829,614/948
32830,1/14
32831,5/2
32832,6/8
32833,3/335
32834,4/1
32835,958/89
32836,31/46
32837,284/66
32838,5/291
32839,499/4
32840,7/84
32841,3/314
32842,4/92
32843,291/79
32844,95/57
32845,922/53
32846,638/903
32847,478/34
32848,32/939
32849,45/649
32850,45/578
32851,480/59
32852,7/2
32853,454/56
32854,8/78
32855,4/83
32856,49/6
32857,6/7
32858,62/35
32859,5/977
32860,15/8
32861,794/489
32862,813/4
32863,72/47
32864,461/110
32865,6/4
32866,77/4
32867,60/12
32868,22/743
32869,626/158
32870,7/9
32871,4/336
32872,49/2
32873,517/77
32874,456/97
32875,5/86
32876,691/9
32877,64/91
32878,2/875
32879,116/405
32880,97/87
32881,61/22
32882,876/5
32883,394/9
32884,823/7
32885,9/52
32886,8/37
32887,2/206
32888,901/589
32889,544/90
32890,6/331
32891,2/687
32892,891/202
32893,328/6
32894,462/8
32895,4/2
32896,644/4
32897,3/2
32898,5/53
32899,6/820
32900,621/8
32901,291/93
32902,7/254
32903,67/38
32904,730/83
32905,77/699
32906,314/584
32907,13/5
32908,583/4
32909,1/838
32910,5/87
32911,774/894
32912,65/7
32913,6/915
32914,435/162
32915,1/9
32916,203/837
32917,8/79
32918,7/93
32919,5/9
32920,8/15
32921,89/90
32922,953/86
32923,49/3
32924,1/18
32925,26/837
32926,17/7
32927,757/27
32928,9/562
32929,5/776
32930,764/25
32931,7/6
32932,936/6
32933,19/71
32934,694/8
32935,8/6
32936,1/78
32937,75/747
32938,1/61
32939,2/27
32940,540/98
32941,61/899
32942,110/4
32943,89/247
32944,2/260
32945,721/9
32946,27/28
32947,395/481
32948,421/54
32949,653/91
32950,1/908
32951,727/61
32952,76/10
32953,4/77
32954,96/75
32955,67/240
32956,301/105
32957,7/96
32958,1/347
32959,997/70
32960,19/23
32961,8/21
32962,7/87
32963,85/656
32964,262/974
32965,7/895
32966,503/4
32967,98/675
32968,7/87
32969,24/5
32970,9/144
32971,56/37
32972,56/4
32973,749/27
32974,2/83
32975,10/4
32976,649/9
32977,625/635
32978,651/9
32979,3/8
32980,9/405
32981,4/75
32982,625/887
32983,6/812
32984,893/791
32985,55/95
32986,33/477
32987,513/1
32988,2/228
32989,900/733
32990,1/646
32991,7/29
32992,242/39
32993,7/305
32994,60/7
32995,500/36
32996,41/168
32997,590/2
32998,444/81
32999,19/9
33000,150/801
33001,37/481
33002,72/7
33003,10/82
33004,3/89
33005,2/2
33006,51/8
33007,925/3
33008,2/623
33009,4/88
33010,702/7
33011,84/228
33012,78/479
33013,6/979
33014,624/214
33015,4/7
33016,89/8
33017,23/795
33018,9/87
33019,82/4
33020,3/99
33021,3/36
33022,7/37
33023,3/676
33024,1/16
33025,39/8
33026,254/7
33027,225/10
33028,900/3
33029,779/566
33030,623/774
33031,86/521
33032,5/32
33033,9/1
33034,188/55
33035,9/266
33036,892/90
33037,1/79
33038,51/54
33039,780/4
33040,54/642
33041,46/61
33042,4/50
33043,478/1
33044,3/662
33045,76/77
33046,452/2
33047,88/6
33048,3/1
33049,845/514
33050,924/725
33051,757/5
33052,7/2
33053,83/3
33054,504/57
33055,566/3
33056,4/5
33057,1/24
33058,9/58
33059,66/24
33060,9/805
33061,68/524
33062,2/50
33063,28/798
33064,357/141
33065,7/63
33066,8/9
33067,54/56
33068,38/332
33069,99/366
33070,216/882
33071,46/9
33072,37/29
33073,89/139
33074,5/203
33075,21/52
33076,281/24
33077,906/7
33078,65/8
33079,728/8
33080,44/60
33081,111/498
33082,24/474
33083,39/35
33084,693/34
33085,941/24
33086,44/792
33087,3/2
33088,43/2
33089,95/9
33090,70/23
33091,693/7
33092,87/903
33093,5/83
33094,65/45
33095,2/2
33096,88/9
33097,15/8
33098,70/437
33099,169/5
33100,26/45
33101,645/7
33102,400/2
33103,6/87
33104,796/95
33105,2/9
33106,1/4
33107,70/5
33108,8/40
33109,97/6
33110,8/33
33111,65/2
33112,9/90
33113,968/326
33114,4/988
33115,9/16
33116,245/311
33117,738/17
33118,9/59
33119,562/8
33120,866/8
33121,681/7
33122,522/3
33123,217/373
33124,823/30
33125,181/647
33126,232/527
33127,8/52
33128,13/430
33129,223/460
33130,619/69
33131,59/623
33132,668/22
33133,404/546
33134,5/63
33135,17/7
33136,546/5
33137,88/769
33138,23/3
33139,69/376
33140,5/224
33141,490/6
33142,142/694
33143,6/59
33144,5/4
33145,29/3
33146,769/12
33147,8/43
33148,7/433
33149,5/32
33150,752/324
33151,4/32
33152,364/75
33153,698/60
33154,14/4
33155,163/5
33156,28/12
33157,136/3
33158,62/22
33159,3/3
33160,20/22
33161,26/4
33162,4/465
33163,36/534
33164,718/19
33165,397/15
33166,517/598
33167,421/124
33168,1/133
33169,85/57
33170,4/4
33171,571/4
33172,952/25
33173,401/538
